Time,Total Power(uAh),,GPS time(ms),GPS Power(uAh),Sensors Power(uAh),,CPU-total time(ms),CPU-foreground time(ms),CPU-wakeup time(ms),CPU Power(uAh),,Net In(Byte),Net Out(Byte),TCP Power(uAh),,WiFi-On time(ms),WiFi-on Power(uAh),WiFi-scan time(ms),WiFi-scan Power(uAh)
'12:57:00.908,0.00,,0.00,0.00,0.00,,0.00,0.00,155.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:01.824,0.00,,0.00,0.00,0.00,,0.00,0.00,1088.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:02.843,0.00,,0.00,0.00,0.00,,0.00,0.00,2110.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:03.895,0.00,,0.00,0.00,0.00,,0.00,0.00,3080.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:04.805,0.00,,0.00,0.00,0.00,,0.00,0.00,4067.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:05.813,0.00,,0.00,0.00,0.00,,0.00,0.00,5082.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:06.836,0.00,,0.00,0.00,0.00,,0.00,0.00,6089.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:07.908,0.00,,0.00,0.00,0.00,,0.00,0.00,7103.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:08.828,0.00,,0.00,0.00,0.00,,0.00,0.00,8089.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:09.831,0.00,,0.00,0.00,0.00,,0.00,0.00,9087.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:10.858,0.00,,0.00,0.00,0.00,,0.00,0.00,10089.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:11.824,0.00,,0.00,0.00,0.00,,0.00,0.00,11085.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:12.837,0.00,,0.00,0.00,0.00,,0.00,0.00,12093.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:13.822,0.00,,0.00,0.00,0.00,,0.00,0.00,13086.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:14.823,0.00,,0.00,0.00,0.00,,0.00,0.00,14084.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:15.816,0.00,,0.00,0.00,0.00,,0.00,0.00,15074.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:16.839,0.00,,0.00,0.00,0.00,,0.00,0.00,16093.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:17.836,0.00,,0.00,0.00,0.00,,0.00,0.00,17108.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:18.838,0.00,,0.00,0.00,0.00,,0.00,0.00,18094.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:19.850,0.00,,0.00,0.00,0.00,,0.00,0.00,19089.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:20.833,0.00,,0.00,0.00,0.00,,0.00,0.00,20103.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:21.852,0.00,,0.00,0.00,0.00,,0.00,0.00,21074.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:22.844,0.00,,0.00,0.00,0.00,,0.00,0.00,22104.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:23.817,0.00,,0.00,0.00,0.00,,0.00,0.00,23088.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:24.855,0.00,,0.00,0.00,0.00,,0.00,0.00,24108.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:25.816,0.00,,0.00,0.00,0.00,,0.00,0.00,25093.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:26.808,0.00,,0.00,0.00,0.00,,0.00,0.00,26085.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:27.864,0.00,,0.00,0.00,0.00,,0.00,0.00,27128.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:28.827,0.00,,0.00,0.00,0.00,,0.00,0.00,28094.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:29.866,0.00,,0.00,0.00,0.00,,0.00,0.00,29119.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:30.829,0.00,,0.00,0.00,0.00,,0.00,0.00,30095.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:31.806,0.00,,0.00,0.00,0.00,,0.00,0.00,31085.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:32.885,0.00,,0.00,0.00,0.00,,0.00,0.00,32105.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:33.842,0.00,,0.00,0.00,0.00,,0.00,0.00,33107.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:34.857,0.00,,0.00,0.00,0.00,,0.00,0.00,34118.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:35.828,0.00,,0.00,0.00,0.00,,0.00,0.00,35087.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:36.830,0.00,,0.00,0.00,0.00,,0.00,0.00,36092.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:37.833,0.00,,0.00,0.00,0.00,,0.00,0.00,37097.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:38.821,0.00,,0.00,0.00,0.00,,0.00,0.00,38087.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:39.847,0.00,,0.00,0.00,0.00,,0.00,0.00,39109.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:40.844,0.00,,0.00,0.00,0.00,,0.00,0.00,40106.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:41.979,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:42.946,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:43.829,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:44.837,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:45.822,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:46.829,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:47.833,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:48.838,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:49.842,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:50.858,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:51.830,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:52.841,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:53.871,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:54.842,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:55.855,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:56.845,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:57.847,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:58.845,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:57:59.835,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:00.837,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:01.866,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:02.839,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:03.818,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:04.836,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:05.874,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:06.842,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:07.856,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:08.831,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:09.856,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:10.867,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:11.854,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:12.837,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:13.848,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:14.847,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:15.845,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:16.849,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:17.914,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:18.844,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:19.840,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:20.847,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:21.872,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:22.856,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:23.824,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:24.861,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:25.881,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:26.857,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:27.889,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:28.860,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:29.855,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:30.836,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:31.840,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:32.848,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:33.871,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:34.891,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:35.844,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:36.859,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:37.901,0.35,,0.00,0.00,0.00,,0.00,0.00,40579.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:38.863,0.35,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:39.845,0.35,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:40.910,0.35,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:41.867,0.35,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:42.872,0.35,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.35,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:43.882,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:44.875,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:45.872,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:46.859,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:47.871,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:48.905,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:49.883,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:50.850,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:51.874,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:52.861,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:53.865,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:54.855,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:55.922,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:56.883,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:57.869,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:58.864,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
'12:58:59.869,0.63,,0.00,0.00,0.00,,0.00,0.00,40580.00,0.63,,0,0,0.00,,0.00,0.00,0.00,0.00
