Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'14:14:44.096,-1.0,3205,-1,468508,31008,5886422,298166,,-1.0,-1.0,1100,1519,10732,0,0,0,1108,1686,3056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:45.182,37.962963,21727,-1,507104,55316,5887430,298585,,6.0185184,31.944445,9092,9449,9756,0,0,0,6260,12278,2644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:46.140,43.646408,33459,-1,527732,68208,5893724,302627,,6.077348,37.56906,10572,10929,9724,0,0,0,15968,22530,2608,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:47.159,31.0,37233,-1,533748,72348,5897161,305805,,5.0,26.0,11040,11397,9724,0,0,0,19088,25836,2616,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:48.248,47.511314,41321,-1,532968,77132,5897567,306263,,6.3348417,41.17647,11636,11914,9544,0,0,0,22632,29407,2568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:49.147,43.023254,41140,-1,532968,77140,5897862,307277,,0.0,43.023254,11644,11922,9544,0,0,0,22632,29218,2568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:50.180,28.358208,42475,-1,533072,78632,5897862,307277,,4.477612,23.880596,11776,12052,9492,0,0,0,23576,30423,2556,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:51.178,30.964466,43925,-1,535852,80492,5898171,307277,,5.5837564,25.38071,12060,12333,9376,0,0,0,24368,31592,2556,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:52.176,15.544041,43719,-1,528196,79448,5898171,307277,,3.626943,11.917098,12144,12415,9320,0,0,0,24712,31304,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:53.152,19.19192,40727,-1,528168,76492,5898171,307277,,4.5454545,14.646464,10260,10531,9312,0,0,0,23600,30196,2552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:54.176,37.931034,45405,-1,538080,81872,5898779,307850,,2.955665,34.97537,10332,10603,9312,0,0,0,27580,34802,2548,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:55.147,18.181818,45525,-1,539248,82404,5898779,307850,,4.2780747,13.903744,10456,10727,9312,0,0,0,27560,34798,2556,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:56.208,33.816425,47431,-1,541896,83980,5898779,307850,,6.763285,27.05314,11272,11542,9276,0,0,0,28392,35889,2544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:57.150,33.879784,47104,-1,542136,83660,5899397,308386,,6.010929,27.868853,11304,11574,9276,0,0,0,27968,35530,2544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:58.172,39.130436,48291,-1,550244,85004,5902844,309204,,6.763285,32.36715,11452,11722,9272,0,0,0,28824,36569,2544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:14:59.153,37.172775,51656,-1,544544,88276,5903452,309777,,5.235602,31.937172,11456,11726,9272,0,0,0,32192,39930,2544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:15:00.170,47.31707,52816,-1,544544,89448,5903452,309777,,5.365854,41.951218,11460,11730,9272,0,0,0,33220,41086,2544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:15:01.189,24.623116,52248,-1,544608,88880,5903914,310277,,1.0050251,23.61809,10816,11086,9272,0,0,0,33292,41162,2544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:15:02.189,3.6458333,52268,-1,544608,88900,5903914,310277,,0.0,3.6458333,10836,11106,9272,0,0,0,33292,41162,2544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'14:15:03.183,2.6041667,52280,-1,544608,88916,5903914,310277,,0.0,2.6041667,10848,11118,9272,0,0,0,33292,41162,2544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
