Time,Total Power(uAh),,GPS time(ms),GPS Power(uAh),Sensors Power(uAh),,CPU-total time(ms),CPU-foreground time(ms),CPU-wakeup time(ms),CPU Power(uAh),,Net In(Byte),Net Out(Byte),TCP Power(uAh),,WiFi-On time(ms),WiFi-on Power(uAh),WiFi-scan time(ms),WiFi-scan Power(uAh)
'13:52:56.595,0.03,,0.00,0.00,0.03,,0.00,0.00,189.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:52:57.559,0.15,,0.00,0.00,0.15,,0.00,0.00,1144.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:52:58.512,0.28,,0.00,0.00,0.28,,0.00,0.00,2113.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:52:59.528,0.42,,0.00,0.00,0.42,,0.00,0.00,3113.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:53:00.515,0.55,,0.00,0.00,0.55,,0.00,0.00,4106.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:53:01.541,0.69,,0.00,0.00,0.69,,0.00,0.00,5140.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:53:02.562,0.81,,0.00,0.00,0.81,,0.00,0.00,6112.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:53:03.556,0.95,,0.00,0.00,0.95,,0.00,0.00,7150.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:53:04.527,1.08,,0.00,0.00,1.08,,0.00,0.00,8118.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:53:05.530,1.22,,0.00,0.00,1.22,,0.00,0.00,9122.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:53:06.537,1.35,,0.00,0.00,1.35,,0.00,0.00,10120.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:53:07.557,1.48,,0.00,0.00,1.48,,0.00,0.00,11127.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
'13:53:08.539,1.62,,0.00,0.00,1.62,,0.00,0.00,12143.00,0.00,,0,0,0.00,,0.00,0.00,0.00,0.00
