Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'13:18:48.252,-1.0,3030,-1,468508,31004,47603,39098,,-1.0,-1.0,1048,1410,10748,0,0,0,1088,1620,3076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:18:49.383,34.545456,20920,-1,506820,54984,48633,39517,,2.2727273,32.272728,9068,9370,9760,0,0,0,5652,11550,2676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:18:50.280,36.416183,28207,-1,517296,62628,53783,43113,,10.982659,25.433525,10252,10555,9752,0,0,0,11748,17652,2656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:18:51.303,57.0,34928,-1,532708,70364,56996,46140,,9.0,48.0,10960,11262,9728,0,0,0,17072,23666,2588,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:18:52.342,45.320198,35491,-1,530832,71688,58010,47171,,6.4039407,38.916256,11340,11634,9684,0,0,0,17404,23857,2576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:18:53.340,43.367348,35701,-1,530832,71864,58350,48420,,1.0204082,42.34694,11552,11800,9544,0,0,0,17468,23901,2576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:18:54.307,33.67347,35755,-1,530832,72324,58707,48420,,3.0612245,30.612246,11664,11910,9500,0,0,0,17584,23845,2576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:18:55.309,22.916666,37437,-1,533204,74332,58707,48420,,3.125,19.791666,11904,12147,9384,0,0,0,18636,25290,2576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:18:56.285,30.107529,38362,-1,526168,74308,58707,48420,,4.83871,25.268818,12056,12298,9324,0,0,0,19640,26064,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'13:18:57.362,9.047619,37778,-1,526168,73532,58707,48420,,0.95238096,8.095238,12068,12310,9324,0,0,0,19044,25468,2572,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
