Time,CPU_Process(%),PSS-API(KB),PSS-Dumpsys(KB),VmSize(KB),RSS(KB),NetIn(Byte),NetOut(Byte),,CPU_Process_Sys,CPU_Process_Usr,DalvikPrivateDirty,DalvikPss,DalvikSharedDirty,NativePrivateDirty,NativePss,NativeSharedDirty,OtherPrivateDirty,OtherPss,OtherSharedDirty,NativePss,NativeSharedDirty,NativePrivateDirty,NativeHeapSize,NativeHeapAlloc,NativeHeapFree,DalvikPss,DalvikSharedDirty,DalvikPrivateDirty,DalvikHeapSize,DalvikHeapAlloc,DalvikHeapFree,TotalPss,TotalSharedDirty,TotalPrivateDirty,TotalHeapSize,TotalHeapAlloc,TotalHeapFree
'04:14:18.166,-1.0,20707,-1,488260,53604,20691278,2182355,,-1.0,-1.0,4880,5208,11180,1500,1539,1112,1888,13960,2740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:19.225,35.849056,39369,-1,506824,78008,20698109,2186627,,14.150944,21.698112,5024,5342,11140,4036,4062,940,8528,29965,3052,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:20.246,31.219511,45159,-1,514404,83340,20700703,2189753,,4.390244,26.829268,5108,5426,11128,5504,5530,936,10396,34203,3104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:21.225,34.358974,48622,-1,513344,87264,20701109,2190203,,2.0512822,32.307693,5356,5674,11108,6940,6966,932,10808,35982,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:22.212,18.877552,48263,-1,510224,87256,20701403,2190801,,0.5102041,18.367348,5380,5688,11100,6940,6965,932,10784,35610,3184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:23.215,13.861386,51180,-1,510444,90600,20701760,2191213,,2.970297,10.891089,5468,5784,11072,7164,7190,932,10816,38206,3208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:24.224,28.57143,52519,-1,513212,92372,20701760,2191213,,5.4187193,23.15271,6264,6577,11004,7832,7858,928,10888,38084,3204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:25.246,6.896552,50379,-1,513212,90108,20701760,2191213,,0.9852217,5.91133,6304,6616,10976,7832,7858,928,10940,35905,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:26.192,12.565445,50412,-1,513200,90152,20701760,2191213,,1.5706806,10.994764,6324,6636,10976,7836,7862,928,11072,35914,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:27.254,24.170616,54272,-1,514968,94348,20702368,2191776,,2.843602,21.327015,6344,6656,10976,8036,8062,928,12640,39554,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:28.276,27.093597,54661,-1,516008,95204,20702368,2191776,,3.9408867,23.15271,6412,6724,10976,8044,8070,928,12648,39867,3228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:29.304,28.292683,57759,-1,517648,97964,20702368,2192312,,5.8536587,22.439024,7276,7588,10964,8268,8294,928,12760,41877,3368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:30.249,26.315788,58277,-1,518588,98320,20702991,2192312,,3.6842105,22.631578,8264,8576,10964,8636,8662,928,12592,41039,3372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:31.263,34.97537,59387,-1,520120,99920,20705970,2193120,,2.955665,32.019703,8628,8939,10948,8824,8850,928,12844,41598,3372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:32.276,36.138615,60385,-1,521724,101688,20706578,2193683,,2.970297,33.168316,8640,8951,10948,9832,9858,928,13256,41576,3560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:33.294,42.64706,62462,-1,521920,103652,20706578,2193683,,4.4117646,38.235294,8644,8955,10948,10484,10510,928,13128,42997,3580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:34.248,18.421053,62541,-1,521996,103732,20707040,2194173,,0.5263158,17.894737,8644,8955,10948,10560,10586,928,13132,43000,3580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:35.265,1.4778326,63145,-1,521996,103808,20707040,2194173,,0.49261084,0.9852217,8644,8963,10948,10564,10590,924,13136,43592,3580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:36.260,2.5125628,62069,-1,521948,102732,20707040,2194173,,0.5025126,2.0100503,7616,7935,10948,10516,10542,924,13136,43592,3580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:37.263,1.4851485,62069,-1,521948,102732,20707040,2194173,,0.0,1.4851485,7616,7935,10948,10516,10542,924,13136,43592,3580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:38.315,30.47619,62335,-1,523124,102588,20707663,2194709,,3.3333333,27.142857,8544,8863,10936,10588,10614,920,13112,42858,3584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:39.247,38.172043,62475,-1,522908,103048,20707663,2194709,,3.2258065,34.946236,9096,9415,10936,10620,10646,920,12932,42414,3592,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:40.295,40.47619,62564,-1,523136,103396,20707663,2194709,,1.4285715,39.04762,9284,9594,10920,10620,10646,920,13164,42324,3592,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'04:14:41.285,36.683414,62448,-1,523180,103244,20707663,2194709,,1.0050251,35.67839,9296,9606,10920,10644,10670,920,13172,42172,3592,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
